name,region,country,lat,lng,ndbc_buoy_ids,forecast_source_id,camera_url,alt_names,slug,geocode_query
Diamond Head Lighthouse,Hawaii,USA,21.284168,-157.813720,,,,,diamond-head-lighthouse,"Diamond Head Lighthouse, Honolulu, USA"
Kaisers,Hawaii,USA,21.308499,-157.861535,,,,,kaisers,"Kaisers, Honolulu, USA"
Kewalos,Hawaii,USA,21.308499,-157.861535,,,,,kewalos,"Kewalos, Honolulu, USA"
Canggu (Echo Beach),Travel,—,-8.650193,115.136510,,,,Echo Beach,canggu,"Canggu (Echo Beach), Bali, —"
Kuta Beach,Travel,—,-8.727787,115.173250,,,,,kuta-beach,"Kuta Beach, Bali, —"
Bolinas,California,USA,37.909427,-122.686602,,,,,bolinas,"Bolinas, Marin, USA"
Campus Point,California,USA,34.436014,-119.829325,,,,,campus-point,"Campus Point, Goleta, USA"
Capitola,California,USA,36.980029,-121.952858,,,,,capitola,"Capitola, Capitola, USA"
Leadbetter,California,USA,34.423349,-119.703430,,,,,leadbetter,"Leadbetter, Santa Barbara, USA"
Ocean Beach (SF),California,USA,37.779238,-122.419359,,,,SF,ocean-beach-san-francisco,"Ocean Beach (SF), San Francisco, USA"
Rincon,California,USA,34.374416,-119.476660,,,,,rincon,"Rincon, Carpinteria, USA"
Salt Creek,California,USA,33.466426,-117.702231,,,,,salt-creek,"Salt Creek, Dana Point, USA"
Steamer Lane,California,USA,36.973310,-122.027166,,,,,steamer-lane,"Steamer Lane, Santa Cruz, USA"
Sunset Cliffs,California,USA,32.725900,-117.256680,,,,,sunset-cliffs,"Sunset Cliffs, Point Loma, USA"
The Wedge,California,USA,33.617991,-117.930145,,,,,the-wedge,"The Wedge, Newport Beach, USA"
Windansea,California,USA,32.844230,-117.270881,,,,,windansea,"Windansea, La Jolla, USA"
Ala Moana Bowls,Hawaii,USA,21.295490,-157.847890,,,,,ala-moana-bowls,"Ala Moana Bowls, Honolulu, USA"
Banzai Pipeline (Ehukai),Hawaii,USA,21.485000,-157.965000,,,,Ehukai,banzai-pipeline,"Banzai Pipeline (Ehukai), North Shore, USA"
Hanalei Bay,Hawaii,USA,22.203169,-159.495670,,,,,hanalei-bay,"Hanalei Bay, North Shore, USA"
Sunset Beach,Hawaii,USA,21.485000,-157.965000,,,,,sunset-beach,"Sunset Beach, North Shore, USA"
Waimea Bay,Hawaii,USA,21.485000,-157.965000,,,,,waimea-bay,"Waimea Bay, North Shore, USA"
Nosara (Playa Guiones),Travel,—,9.980796,-85.653620,,,,Playa Guiones,nosara,"Nosara (Playa Guiones), Guanacaste, —"
Padang Padang,Travel,—,-8.091233,113.195920,,,,,padang-padang,"Padang Padang, Bali, —"
Rincon (Domes/Maria’s),Travel,—,36.715000,-4.283817,,,,Domes;Maria’s,rincon-rincon,"Rincon (Domes/Maria’s), Rincon, —"
Santa Teresa,Travel,—,-30.067938,-51.228313,,,,,santa-teresa,"Santa Teresa, Nicoya Peninsula, —"
Sayulita,Travel,—,20.868926,-105.440702,,,,,sayulita,"Sayulita, Nayarit, —"
Scorpion Bay (San Juanico),Travel,—,4.457876,-73.676130,,,,San Juanico,scorpion-bay,"Scorpion Bay (San Juanico), Baja Sur, —"
Tamarindo,Travel,—,10.306220,-85.802830,,,,,tamarindo,"Tamarindo, Guanacaste, —"
Uluwatu,Travel,—,-6.218766,106.867680,,,,,uluwatu,"Uluwatu, Bali, —"
26th Ave,California,USA,36.960555,-121.978709,,,,,26th-ave,"26th Ave, Santa Cruz, USA"
C Street / Surfers Point,California,USA,34.280823,-119.294674,,,,,c-street-surfers-point,"C Street / Surfers Point, Ventura, USA"
Davenport Landing,California,USA,37.024550,-122.211750,,,,,davenport-landing,"Davenport Landing, Davenport, USA"
Emma Wood,California,USA,34.280823,-119.294674,,,,,emma-wood,"Emma Wood, Ventura, USA"
Jalama,California,USA,34.509140,-120.495200,,,,,jalama,"Jalama, Lompoc, USA"
Manresa,California,USA,36.953519,-121.871222,,,,,manresa,"Manresa, Aptos, USA"
Mavericks,California,USA,37.463634,-122.429242,,,,,mavericks,"Mavericks, Half Moon Bay, USA"
Moss Landing,California,USA,36.796291,-121.785961,,,,,moss-landing,"Moss Landing, Moss Landing, USA"
Pacifica / Linda Mar,California,USA,37.586300,-122.491267,,,,,pacifica-linda-mar,"Pacifica / Linda Mar, Pacifica, USA"
Pleasure Point,California,USA,36.965656,-121.964905,,,,,pleasure-point,"Pleasure Point, Santa Cruz, USA"
Rockaway,California,USA,37.608780,-122.495346,,,,,rockaway,"Rockaway, Pacifica, USA"
Sands/Devereux,California,USA,34.412459,-119.855394,,,,,sands-devereux,"Sands/Devereux, Isla Vista, USA"
Silver Strand,California,USA,34.153664,-119.217401,,,,,silver-strand,"Silver Strand, Oxnard, USA"
Stinson Beach,California,USA,37.898510,-122.639817,,,,,stinson-beach,"Stinson Beach, Marin, USA"
The Hook,California,USA,36.973310,-122.027166,,,,,the-hook,"The Hook, Santa Cruz, USA"
Ventura Point,California,USA,34.280823,-119.294674,,,,,ventura-point,"Ventura Point, Ventura, USA"
Waddell Creek,California,USA,36.973310,-122.027166,,,,,waddell-creek,"Waddell Creek, North of Santa Cruz, USA"
Chun’s Reef,Hawaii,USA,21.485000,-157.965000,,,,,chun-s-reef,"Chun’s Reef, North Shore, USA"
Haleiwa,Hawaii,USA,21.485000,-157.965000,,,,,haleiwa,"Haleiwa, North Shore, USA"
Honolua Bay,Hawaii,USA,21.011278,-156.638759,,,,,honolua-bay,"Honolua Bay, West Maui, USA"
Lahaina Breakwall,Hawaii,USA,20.875253,-156.679805,,,,,lahaina-breakwall,"Lahaina Breakwall, Lahaina, USA"
Laniakea,Hawaii,USA,21.485000,-157.965000,,,,,laniakea,"Laniakea, North Shore, USA"
Makaha,Hawaii,USA,21.470255,-158.208440,,,,,makaha,"Makaha, West Oahu, USA"
Olowalu,Hawaii,USA,20.811014,-156.621810,,,,,olowalu,"Olowalu, West Maui, USA"
Poipu,Hawaii,USA,21.876670,-159.453660,,,,,poipu,"Poipu, South Shore, USA"
Ukumehame,Hawaii,USA,20.801416,-156.584030,,,,,ukumehame,"Ukumehame, West Maui, USA"
Seaside Cove,Oregon,USA,45.993159,-123.925345,,,,,seaside-cove,"Seaside Cove, Seaside, USA"
Westport (Westhaven),Washington,USA,46.908140,-124.113260,,,,Westhaven,westport,"Westport (Westhaven), Westport, USA"
Chicama,Travel,—,-7.840456,-79.151054,,,,,chicama,"Chicama, La Libertad, —"
Ericeira – Ribeira d’Ilhas,Travel,—,38.992459,-9.396586,,,,Ribeira d’Ilhas,ericeira-ribeira-d-ilhas,"Ericeira – Ribeira d’Ilhas, Ericeira, —"
Hossegor (La Gravière),Travel,—,44.069868,0.646396,,,,La Gravière,hossegor,"Hossegor (La Gravière), Landes, —"
Mundaka,Travel,—,33.640031,-117.656147,,,,,mundaka,"Mundaka, Basque Country, —"
Nazaré (Praia do Norte),Travel,—,39.613214,-9.080772,,,,Praia do Norte,nazar,"Nazaré (Praia do Norte), Leiria, —"
Pavones,Travel,—,40.403971,-3.662323,,,,,pavones,"Pavones, Golfo Dulce, —"
Peniche (Supertubos),Travel,—,39.355640,-9.378560,,,,Supertubos,peniche,"Peniche (Supertubos), Peniche, —"
Puerto Escondido (Zicatela),Travel,—,15.870197,-97.079545,,,,Zicatela,puerto-escondido,"Puerto Escondido (Zicatela), Oaxaca, —"
Punta Mita – El Anclote,Travel,—,20.781396,-105.529442,,,,El Anclote,punta-mita-el-anclote,"Punta Mita – El Anclote, Nayarit, —"
El Capitan,California,USA,34.464252,-120.043520,,,,,el-capitan,"El Capitan, Goleta, USA"
Fort Point,California,USA,37.831729,-122.480202,,,,,fort-point,"Fort Point, Golden Gate, USA"
Seaside Cove,OR,USA,45.993159,-123.925345,,NOAA_WW3,,,seaside-cove-or,"Seaside Cove, Seaside, OR"
Short Sands (Oswald West),OR,USA,45.811725,-123.963151,,NOAA_WW3,,Oswald West,short-sands-or,"Short Sands (Oswald West), Arch Cape, OR"
Cannon Beach (Ecola/Indian),OR,USA,45.898312,-123.960898,,NOAA_WW3,,Ecola;Indian,cannon-beach-or,"Cannon Beach (Ecola/Indian), Cannon Beach, OR"
Pacific City (Cape Kiwanda),OR,USA,45.201874,-123.961664,,NOAA_WW3,,Cape Kiwanda,pacific-city-or,"Pacific City (Cape Kiwanda), Pacific City, OR"
Agate Beach,OR,USA,44.673650,-124.059660,,NOAA_WW3,,,agate-beach-or,"Agate Beach, Newport, OR"
Florence South Jetty,OR,USA,43.979922,-124.101206,,NOAA_WW3,,,florence-south-jetty-or,"Florence South Jetty, Florence, OR"
Bandon,OR,USA,43.118460,-124.412482,,NOAA_WW3,,,bandon-or,"Bandon, Bandon, OR"
Humbug Mountain (Port Orford),OR,USA,42.745057,-124.497342,,NOAA_WW3,,Port Orford,humbug-mountain-or,"Humbug Mountain (Port Orford), Port Orford, OR"
Gold Beach (South Jetty),OR,USA,42.407297,-124.420950,,NOAA_WW3,,South Jetty,gold-beach-or,"Gold Beach (South Jetty), Gold Beach, OR"
Brookings (Harris Beach),OR,USA,42.052296,-124.283438,,NOAA_WW3,,Harris Beach,brookings-or,"Brookings (Harris Beach), Brookings, OR"
Westport (Jetty),WA,USA,46.889393,-124.111632,,NOAA_WW3,,Jetty,westport-wa,"Westport (Jetty), Westport, WA"
Ocean Shores,WA,USA,46.955784,-124.167412,,NOAA_WW3,,,ocean-shores-wa,"Ocean Shores, Ocean Shores, WA"
La Push (First Beach),WA,USA,47.909298,-124.637410,,NOAA_WW3,,First Beach,la-push-wa,"La Push (First Beach), La Push, WA"
La Push (Second Beach),WA,USA,47.909298,-124.637410,,NOAA_WW3,,Second Beach,la-push-wa-2,"La Push (Second Beach), La Push, WA"
La Push (Third Beach),WA,USA,47.909298,-124.637410,,NOAA_WW3,,Third Beach,la-push-wa-3,"La Push (Third Beach), La Push, WA"
Shi Shi Beach,WA,USA,48.365874,-124.614044,,NOAA_WW3,,,shi-shi-beach-wa,"Shi Shi Beach, Neah Bay, WA"
Hobuck (Neah Bay),WA,USA,48.365874,-124.614044,,NOAA_WW3,,Neah Bay,hobuck-wa,"Hobuck (Neah Bay), Neah Bay, WA"
Cape Disappointment (Waikiki Beach),WA,USA,46.308859,-124.043372,,NOAA_WW3,,Waikiki Beach,cape-disappointment-wa,"Cape Disappointment (Waikiki Beach), Ilwaco, WA"
Long Beach,WA,USA,46.350650,-124.054541,,NOAA_WW3,,,long-beach-wa,"Long Beach, Long Beach, WA"
Westhaven State Park,WA,USA,46.880386,-124.102669,,NOAA_WW3,,,westhaven-state-park-wa,"Westhaven State Park, Westport, WA"
