name,island,listed_location,provider_url,watch_url,embed_url,thumbnail_url,type,http_status,http_error,coverage_status,embed_permission,live_playback,possible_overlap
South Shore Surf Cam,Oahu,Publics,https://www.youtube.com/@WaikikiAquariumHonolulu/streams,https://www.youtube.com/watch?v=WIUg8wzhq1g,https://www.youtube.com/embed/WIUg8wzhq1g?autoplay=1&mute=1,https://i.ytimg.com/vi/WIUg8wzhq1g/hqdefault_live.jpg,youtube,200,,directory-listed; exact beach mapping unverified,unverified,unverified,['Waikiki Aquarium (Waikiki)']
The Royal Sonesta Resort (Kalapaki Beach),Kauai,Kalapaki Beach,https://www.ozolio.com/explore/IDWX000000A6,,,,external,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
Lawai Beach Resort - Live Cam,Kauai,PKs,https://www.youtube.com/@OurLawaiBeachResort/streams,https://www.youtube.com/watch?v=3ATYHKN2hIg,https://www.youtube.com/embed/3ATYHKN2hIg?autoplay=1&mute=1,https://i.ytimg.com/vi/3ATYHKN2hIg/hqdefault_live.jpg,youtube,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
Whalers Cove Resort (PKs),Kauai,PKs,https://www.whalerscoveresort.com/webcam,,,,external,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
Brenneckes.com (Brenneckes),Kauai,Brenneckes,https://brenneckes.com/beach-webcam/,,,,external,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
Maui Eldorado (Osterizers/Rainbows),Maui,Osterizers/Rainbows,https://www.mauieldorado.com/webcams,,,,external,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
Whaler Condo (Ka'anapali Point),Maui,Ka'anapali Point,https://www.youtube.com/@mauilivecam7143/streams,,,,external,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
Maui Seashell – Hale Mahina Resort (S-Turns),Maui,S-Turns,https://halemahinacondo.com/web-cam/,,,,external,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
Napili Sunset Resort (Little Makaha),Maui,Little Makaha,https://www.napilisunset.com/live-webcam/,,,,external,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
The Hale Pau Hana Surf Cam,Maui,Kihei Cove,https://www.youtube.com/@HalePauHanaBeachResortKihei/streams,https://www.youtube.com/watch?v=hPvl6IACa2k,https://www.youtube.com/embed/hPvl6IACa2k?autoplay=1&mute=1,https://i.ytimg.com/vi/hPvl6IACa2k/hqdefault_live.jpg,youtube,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
Grand Wailea Hotel (Kihei Cove),Maui,Kihei Cove,https://www.grandwailea.com/grand-wailea-webcam,,,,external,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
Rentals Maui (Kihei Cove),Maui,Kihei Cove,https://www.rentalsmaui.com/maui-web-cam/,,,,external,200,,directory-listed; exact beach mapping unverified,unverified,unverified,[]
