name,region,lat,lng,cam_name,owner,source_type,page_url,platform_url,embed_policy,credit_text,notes
El Porto (Manhattan),California,33.904,-118.424,El Porto – HDOnTap Live Cam,HDOnTap (partner),hdontap,https://hdontap.com/stream/256987/el-porto-manhattan-beach-live-webcam/,,licensed-widget,Camera by partner + HDOnTap.,Multiple El Porto vantage points.
Hermosa Pier,California,33.862,-118.401,Hermosa Pier North – HDOnTap,HDOnTap (partner),hdontap,https://hdontap.com/stream/567567/hermosa-beach-pier-north-live-webcam/,,licensed-widget,Camera by partner + HDOnTap.,Pier north view.
Hermosa Pier,California,33.862,-118.401,Good Stuff Strand Cam (YouTube),Good Stuff Restaurants,youtube,https://eatgoodstuff.com/strandcam/,https://www.youtube.com/watch?v=yJgfAV8lXyI,platform-allowed,Camera by Good Stuff Restaurants.,Owner YouTube live — embeddable if channel allows.
Imperial Beach,California,32.579,-117.13,Imperial Beach Cams roundup,City / third-party roundup,roundup,https://www.livebeaches.com/city/imperial-beach-ca/,,link-only,Credit each camera owner per link.,Many links point to Surfline; owner embeds limited.
Mission Beach,California,32.781986,-117.25252,Mission Beach & Crystal Pier – HDOnTap,HDOnTap (partner),hdontap,https://hdontap.com/stream/475932/mission-beach-and-crystal-pier-live-cam/,,licensed-widget,Camera by partner + HDOnTap.,Boardwalk + Crystal Pier views.
Mission Beach,California,32.781986,-117.25252,North Mission Beach Boardwalk Cam,MissionBeachBoardwalk.com,owner-page,https://missionbeachboardwalk.com/?page_id=19,,link-only,Camera by oceanfrontphotos.com.,Boardwalk-oriented view.
Newport 56th St,California,33.612827,-117.929756,Newport Beach Surfcams – 56th St,SurfOutlook,community,https://www.surfoutlook.com/surfcam/orangecounty/newport-beach,,unknown,Camera by SurfOutlook.,Has 56th St among others.
Waikiki Beach,Hawaii,21.277,-157.827,Sheraton Waikiki — Beach Cam (Ozolio/YouTube),Sheraton Waikiki (Marriott) / Ozolio,youtube,https://marriott.ozolio.com/sheraton-waikiki/,https://www.youtube.com/watch?v=06v5pzump4w,platform-allowed,Camera by Sheraton Waikiki — used with permission if channel allows embedding.,Prime Waikiki view; Ozolio/YouTube stream.
Waikiki Beach,Hawaii,21.283,-157.838,Hilton Hawaiian Village — Beach Webcam (EarthCam/Hotel),Hilton Hawaiian Village,earthcam,https://www.hilton.com/en/hotels/hnlhvhh-hilton-hawaiian-village-waikiki-beach-resort/resort/webcam/,https://www.earthcam.com/usa/hawaii/waikiki/,licensed-widget,Camera by Hilton Hawaiian Village / EarthCam.,Use EarthCam widget/API for embedding.
Waikiki (Aquarium),Hawaii,21.268,-157.822,Waikīkī Aquarium — South Shore Surf Cam (YouTube),Waikīkī Aquarium,youtube,https://www.waikikiaquarium.org/experience/virtual/webcam/,https://www.youtube.com/live/6tHEWDnxj2Y,platform-allowed,Camera by Waikīkī Aquarium.,University-affiliated public cam; embed if YT allows.
Waikiki Beach,Hawaii,21.272,-157.821,Park Shore Waikiki — Beach Webcam,Park Shore Waikiki Hotel,hotel,https://www.parkshorewaikiki.com/gallery/webcam,,link-only,Camera by Park Shore Waikiki.,Owner page; check for explicit embed permission.
Poipu Beach (Kauai),Hawaii,21.875,-159.452,Parrish Collection — Poipu Beach (EarthCam),The Parrish Collection Kaua‘i,earthcam,https://www.parrishkauai.com/kauai-webcam/,https://www.earthcam.com/usa/hawaii/kauai/,licensed-widget,Camera by The Parrish Collection / EarthCam.,Use EarthCam widget/API.
Poipu Beach (Kauai),Hawaii,21.874,-159.455,Sheraton Kauai Resort — Poipu Beach Cam (Ozolio),Sheraton Kauai Resort (Marriott) / Ozolio,owner-page,https://marriott.ozolio.com/sheraton-kauai-resort/,,link-only,Camera by Sheraton Kauai Resort.,Ozolio-hosted player on hotel site; ask to embed.
Hanalei Bay (Kauai),Hawaii,22.209,-159.506,Hanalei Bay Resort — Live Web Camera,Hanalei Bay Resort,hotel,https://www.hanaleibayresort.com/live-web-camera/,,link-only,Camera by Hanalei Bay Resort.,Owner page; some feeds via HDOnTap.
Hanalei (Wainiha) — Colony Resort,Hawaii,22.221,-159.561,Hanalei Colony Resort — Live Kaua‘i Beach Cam,Hanalei Colony Resort,hotel,https://www.hcr.com/webcam,,link-only,Camera by Hanalei Colony Resort.,Owner page.
Hapuna Beach (Kohala),Hawaii,20.001,-155.842,Westin Hapuna Beach — Live Cam (Ozolio),The Westin Hapuna Beach Resort (Marriott) / Ozolio,owner-page,https://marriott.ozolio.com/westin-hapuna-beach-resort/,,link-only,Camera by Westin Hapuna Beach Resort.,Ozolio-powered; request embed.
Waikoloa Village Lagoon,Hawaii,19.922,-155.887,Hilton Waikoloa Village — Lagoon Cam (EarthCam),Hilton Waikoloa Village / EarthCam,earthcam,https://www.earthcam.com/usa/hawaii/bigisland/waikoloa/,,licensed-widget,Camera by Hilton Waikoloa Village / EarthCam.,Lagoon view; EarthCam widget/API.
Westport (Marina/Groins/Jetty),WA,46.89,-124.108,Experience Westport — Live Westport Webcams (Tower/Museum/Lighthouse),Experience Westport / City partners,tourism-board,https://www.experiencewestport.com/live-westport-webcam,,link-only,Cameras by Experience Westport / partners.,Multiple vantage points; link-back or ask.
Westport Beach,WA,46.889,-124.109,Chateau Westport — Live Beach Cam,Chateau Westport,hotel,https://www.chateauwestport.com/live-web-cam,,link-only,Camera by Chateau Westport.,Owner page.
Ocean Shores,WA,46.974,-124.154,Canterbury Inn — Beach Cam,Canterbury Inn Ocean Shores,hotel,https://www.canterburyinn.com/beach-cam,,link-only,Camera by Canterbury Inn.,Owner page; some embeds via IPCamLive.
Ocean Shores / North Beaches,WA,46.973,-124.157,OceanShores.com — Webcams Directory (incl. Canterbury Inn),OceanShores.com,roundup,https://oceanshores.com/cameras,,link-only,Credit each camera owner per link.,Directory of local webcams.
La Push — First Beach,WA,47.909,-124.638,First Beach Webcam (Forks Chamber + Quileute Nation),Forks Chamber of Commerce / Quileute Nation,municipal,https://forkswa.com/plan-your-visit/webcams/first-beach-at-la-push-webcam/,,link-only,Camera by Forks Chamber & Quileute Nation.,Owner page; usually image/stream; ask for embed.
Seabrook (Pacific Beach area),WA,47.199,-124.204,Seabrook Washington — Live Weather Cam (YouTube),Seabrook Washington,youtube,https://www.seabrookwa.com/live-weather-cam/,https://www.youtube.com/@SeabrookWA/streams,platform-allowed,Camera by Seabrook Washington.,Embed if YT allows; planned dev community.
Long Beach (Boardwalk),WA,46.355,-124.054,Evergreen Coast (Bolstad Approach Pavilion) — Boardwalk Cam,Long Beach Peninsula Visitors Bureau / partners,tourism-board,https://www.evergreencoastwa.com/,,link-only,Camera by Long Beach Peninsula VCB.,Boardwalk pavilion views; embeddability unclear.
Agate Beach,OR,44.67365,-124.05966,Starfish Point — Agate Beach Live Webcam,Starfish Point (Newport),hotel,https://www.starfishpoint.com/webcam.php,,link-only,"Camera by Starfish Point, Newport.",Owner page; often links to Surfline for HD view.
Agate Beach,OR,44.67365,-124.05966,Agate Beach Motel — Live Web Cam,Agate Beach Motel,hotel,https://www.agatebeachmotel.com/,,link-only,Camera by Agate Beach Motel.,Owner page with live view.
Bandon,OR,43.11846,-124.412482,Port of Bandon — Coquille River Bar Cam,Port of Bandon,municipal,https://www.portofbandon.com/coquille-river-bar-cam,,link-only,Camera by Port of Bandon.,Municipal bar cam near river mouth; link-back.
Bandon,OR,43.11846,-124.412482,Bandon.TV — Local Webcam,Bandon.TV,community,https://www.bandon.tv/,,unknown,Camera by Bandon.TV.,Community-run coastal camera; check terms for embeds.
Brookings (Harris Beach),OR,42.052296,-124.283438,Port of Brookings Harbor — Chetco River Bar Camera,Port of Brookings Harbor,municipal,https://www.portofbrookingsharbor.com/chetco-river-bar-camera.html,,link-only,Camera by Port of Brookings Harbor.,Bar/harbor vantage; near Harris Beach area.
Cannon Beach (Ecola/Indian),OR,45.898312,-123.960898,Cannon Beach Conference Center — Beachfront Lodge Cam,Cannon Beach Conference Center,owner-page,https://cbccstaff.net/whats-new/webcam/,,link-only,Camera by Cannon Beach Conference Center.,Owner page with beachfront view.
Cannon Beach (Ecola/Indian),OR,45.898312,-123.960898,Tolovana Inn — Beach Webcam (site),Tolovana Inn,hotel,https://www.tolovanainn.com/,,link-only,Camera by Tolovana Inn.,Webcam typically linked from site/sky-cam pages; ask before embedding.
Florence South Jetty,OR,43.979922,-124.101206,Driftwood Shores — Live Webcam,Driftwood Shores Resort & Conference Center,hotel,https://www.driftwoodshores.com/live-webcam/,,link-only,Camera by Driftwood Shores Resort.,Owner page; oceanfront overview.
Gold Beach (South Jetty),OR,42.407297,-124.42095,Jot's Resort — Rogue River/Gold Beach Webcam,Jot's Resort,hotel,https://www.jotsresort.com/,,link-only,Camera by Jot's Resort.,Owner page; river mouth / coastal views; verify embed terms.
Humbug Mountain (Port Orford),OR,42.745057,-124.497342,OSU Port Orford Field Station — Webcam & Sea Conditions,Oregon State University (Port Orford Field Station),university,https://research.oregonstate.edu/port-orford/webcam-and-sea-conditions,,link-only,Camera by OSU Port Orford Field Station.,University-hosted page; generally link-back.
Pacific City (Cape Kiwanda),OR,45.201874,-123.961664,Pelican Brewing — Pacific City Live Webcam,Pelican Brewing Company,owner-page,https://pelicanbrewing.com/webcam/,,link-only,Camera by Pelican Brewing (Pacific City).,Owner page; frequent live pano of Haystack Rock / Cape Kiwanda.
Pacific City (Cape Kiwanda),OR,45.201874,-123.961664,PacificCity.org — Chamber Beach Webcam,Pacific City / Nestucca Valley Chamber,tourism-board,https://webcam.pacificcity.org/,,link-only,Camera by PC/Nestucca Valley Chamber.,Tourism-board page with beachfront view.
Seaside Cove,OR,45.993159,-123.925345,Lanai at the Cove — Live Webcam (The Cove),Lanai at the Cove,hotel,https://seasidelanai.com/,,link-only,Camera by Lanai at the Cove.,Owner page with webcam link.
Seaside Cove,OR,45.993159,-123.925345,Seaside Aquarium — Beach Cam / Promenade,Seaside Aquarium,owner-page,https://seasideaquarium.com/,,link-only,Camera by Seaside Aquarium.,Owner page; has a 'BEACH CAM' / 'Aquarium Cam'.
Short Sands (Oswald West),OR,45.811725,-123.963151,Ocean Inn at Manzanita — Beach Webcam (nearby vantage),Ocean Inn at Manzanita,hotel,https://www.oceaninnatmanzanita.com/oregon-coast-webcam/,,link-only,Camera by Ocean Inn at Manzanita.,Nearest public owner cam to Short Sands; requires viewer login per page.
